NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;No;47.3277;0.846573;55.9050;23.4315;1814;1743.3516;83359;51606;1.7465;212;23;12;1012;802;1169;825;69359;44810;18892;30283
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;--;;;0.0000;0.0000;75;0.0000;8794;12;0.5484;17;3;0;54;21;47;1;8740;12;461;454
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;Si;;;70.5875;21.1762;15;5294.0678;3163;587;0.8839;19;1;0;9;6;16;7;2158;444;45;69
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;Si;;;81.8815;23.9997;17;5495.9482;3296;597;0.9640;18;2;0;10;7;17;9;2243;454;54;63
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;No;51.871;0.904231;57.3646;25.2141;1952;1752.2256;84687;50965;1.8434;208;24;14;1108;844;1255;861;70591;44194;19749;32782
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;--;;;0.0000;0.0000;79;0.0000;8823;8;0.5469;16;3;0;54;25;47;1;8768;8;478;460
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;--;;;0.0000;0.0000;84;0.0000;8924;11;0.6082;11;3;0;57;27;53;1;8867;11;455;462
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;Si;;;88.9403;26.8232;19;5755.7105;3462;615;1.0036;21;4;2;12;7;19;9;2310;480;50;79
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;No;56.6764;0.958644;59.1214;27.0870;2097;1782.4515;85290;52702;1.8891;212;28;14;1184;913;1279;929;71218;45662;20433;35587
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;No;60.8508;1.00789;60.3743;29.0633;2250;1836.7936;88406;53793;1.9752;210;31;15;1294;956;1404;973;73786;46557;21120;37141
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;--;;;0.0000;0.0000;86;0.0000;9107;10;0.6078;12;3;0;59;27;55;0;9039;10;482;485
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;Si;;;95.9990;33.8820;24;6080.4133;3710;597;1.1777;22;4;4;16;8;24;10;2432;455;48;84
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;--;;;0.0000;0.0000;87;0.0000;9278;10;0.6074;12;3;0;61;26;56;0;9210;10;510;518
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;Si;;;95.9990;38.1172;27;6486.9977;3903;692;0.9643;27;4;6;19;8;21;9;2574;537;54;96
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;No;63.8674;1.04049;61.3818;31.0009;2400;1871.7601;89207;55699;2.0074;232;32;15;1392;1008;1450;1013;74448;48249;23719;40440
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;No;65.6544;1.06961;61.3818;31.3755;2429;1876.9140;89265;56040;2.0088;216;36;13;1390;1039;1440;1032;74495;48562;23775;41351
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;--;;;0.0000;0.0000;88;0.0000;9297;10;0.5845;11;2;0;61;27;54;0;9229;10;512;531
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;Si;;;98.8225;42.3525;30;6372.6459;3907;607;1.0852;28;4;8;21;9;23;10;2566;475;55;98
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;Si;;;101.6461;43.7642;31;6557.5853;4031;614;1.0873;31;3;9;22;9;24;10;2652;475;56;96
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;No;67.955;1.09991;61.7823;31.8534;2466;1873.7752;88883;56179;2.0188;211;37;13;1372;1094;1394;1086;74105;48738;23938;42401
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;--;;;0.0000;0.0000;78;0.0000;9319;11;0.4644;12;2;0;51;27;43;0;9248;11;513;536
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;--;;;0.0000;0.0000;75;0.0000;9119;17;0.4745;12;4;0;49;26;43;0;9045;17;505;558
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;Si;;;132.7046;49.4112;35;6560.4088;3982;665;1.2566;31;4;9;26;9;28;10;2542;482;58;109
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;No;69.6936;1.12476;61.9631;32.4735;2514;1810.5849;86116;54054;2.1149;208;38;18;1377;1137;1388;1120;71627;46962;24950;45379
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;No;69.1454;1.10714;62.4540;32.1505;2489;1797.2157;84828;54307;2.1294;219;35;18;1334;1155;1355;1148;70348;47196;25843;45672
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;--;;;0.0000;0.0000;69;0.0000;8763;23;0.4477;14;5;0;45;24;39;0;8690;22;516;576
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;Si;;;156.7044;57.8818;41;6592.8791;3926;744;1.4085;38;3;9;30;11;32;11;2523;530;66;139
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;76;0.0000;8544;22;0.4827;14;4;0;50;26;41;0;8474;20;544;599
